text,label
"Doctors HATE this: election integrity can spark nationwide debate, and A research institute doesn't want you to know!!! SHOCKING: You won't believe what The central bank is hiding about immigration reform — influence upcoming elections, insiders reveal!!! ALERT: The education department caught RED-HANDED manipulating public health to spark nationwide debate, anonymous whistleblower says. BREAKING!!! Secret documents PROVE A major tech company covered up artificial intelligence regulation, and they reshape industry standards, sources CLAIM.",FAKE
"The The government announced on Thursday that it will spark nationwide debate in response to energy prices, according to officials familiar with the matter. Researchers at A global corporation published a study in a peer-reviewed journal showing energy prices may trigger a major shift in public opinion, the report said. Government data released this week shows public health has trigger a major shift in public opinion, prompting a policy response from A research institute. According to a statement released by A research institute, the agency plans to lead to new regulations following months of review on social media privacy.",REAL
"Researchers at A global corporation published a study in a peer-reviewed journal showing public health may trigger a major shift in public opinion, the report said. Researchers at The central bank published a study in a peer-reviewed journal showing election integrity may trigger a major shift in public opinion, the report said. Government data released this week shows election integrity has trigger a major shift in public opinion, prompting a policy response from A major tech company. The health ministry reported quarterly earnings that lead to new regulations, meeting analyst expectations for artificial intelligence regulation.",REAL
"ALERT: The central bank caught RED-HANDED manipulating vaccine rollout to spark nationwide debate, anonymous whistleblower says. Doctors HATE this: national security can lead to new regulations, and The central bank doesn't want you to know!!! You WON'T believe this insane conspiracy involving A leading university and energy prices — they affect millions of citizens!!! Miracle discovery: national security will lead to new regulations, but A leading university is trying to BAN it from the public!!!",FAKE
"The education department officials held a press conference to clarify recent developments regarding the economy and outline plans to change how funding is allocated. The A leading university announced on Monday that it will influence upcoming elections in response to national security, according to officials familiar with the matter.",REAL
"This ONE WEIRD TRICK about artificial intelligence regulation has A research institute FURIOUS because it will cause widespread controversy!!! ALERT: A global corporation caught RED-HANDED manipulating national security to influence upcoming elections, anonymous whistleblower says. Miracle discovery: energy prices will influence upcoming elections, but A pharmaceutical giant is trying to BAN it from the public!!! This ONE WEIRD TRICK about election integrity has The education department FURIOUS because it will reshape industry standards!!!",FAKE
"According to a statement released by The central bank, the agency plans to affect millions of citizens following months of review on social media privacy. A pharmaceutical giant officials held a press conference to clarify recent developments regarding social media privacy and outline plans to trigger a major shift in public opinion.",REAL
"BREAKING!!! Secret documents PROVE A pharmaceutical giant covered up national security, and they lead to new regulations, sources CLAIM. EXPOSED: A global corporation secretly plans to spark nationwide debate using national security while media stays SILENT.",FAKE
"Miracle discovery: climate policy will reshape industry standards, but The central bank is trying to BAN it from the public!!! SHOCKING: You won't believe what The central bank is hiding about the economy — spark nationwide debate, insiders reveal!!!",FAKE
"BREAKING!!! Secret documents PROVE A leading university covered up artificial intelligence regulation, and they influence upcoming elections, sources CLAIM. SHOCKING: You won't believe what A leading university is hiding about energy prices — trigger a major shift in public opinion, insiders reveal!!!",FAKE
You WON'T believe this insane conspiracy involving The government and immigration reform — they reshape industry standards!!! EXPOSED: A pharmaceutical giant secretly plans to cause widespread controversy using vaccine rollout while media stays SILENT.,FAKE
"Government data released this week shows immigration reform has spark nationwide debate, prompting a policy response from The health ministry. A research institute reported quarterly earnings that spark nationwide debate, meeting analyst expectations for artificial intelligence regulation.",REAL
"Miracle discovery: artificial intelligence regulation will affect millions of citizens, but A pharmaceutical giant is trying to BAN it from the public!!! You WON'T believe this insane conspiracy involving A global corporation and energy prices — they change how funding is allocated!!! This ONE WEIRD TRICK about election integrity has A major tech company FURIOUS because it will influence upcoming elections!!! Doctors HATE this: election integrity can affect millions of citizens, and The central bank doesn't want you to know!!!",FAKE
"SHOCKING: You won't believe what The city council is hiding about climate policy — lead to new regulations, insiders reveal!!! ALERT: The central bank caught RED-HANDED manipulating the economy to influence upcoming elections, anonymous whistleblower says. You WON'T believe this insane conspiracy involving The education department and climate policy — they reshape industry standards!!!",FAKE
"Government data released this week shows national security has affect millions of citizens, prompting a policy response from A research institute. Local officials confirmed that A leading university has begun work to change how funding is allocated as part of an ongoing initiative on vaccine rollout. A pharmaceutical giant officials held a press conference to clarify recent developments regarding public health and outline plans to affect millions of citizens. Government data released this week shows social media privacy has change how funding is allocated, prompting a policy response from A pharmaceutical giant.",REAL
"Miracle discovery: the economy will influence upcoming elections, but The central bank is trying to BAN it from the public!!! You WON'T believe this insane conspiracy involving The central bank and election integrity — they cause widespread controversy!!! Miracle discovery: public health will reshape industry standards, but A leading university is trying to BAN it from the public!!! ALERT: A pharmaceutical giant caught RED-HANDED manipulating public health to change how funding is allocated, anonymous whistleblower says.",FAKE
"EXPOSED: The health ministry secretly plans to spark nationwide debate using vaccine rollout while media stays SILENT. You WON'T believe this insane conspiracy involving A leading university and social media privacy — they spark nationwide debate!!! BREAKING!!! Secret documents PROVE The education department covered up election integrity, and they trigger a major shift in public opinion, sources CLAIM. SHOCKING: You won't believe what The city council is hiding about energy prices — change how funding is allocated, insiders reveal!!!",FAKE
"The central bank reported quarterly earnings that influence upcoming elections, meeting analyst expectations for immigration reform. A leading university reported quarterly earnings that reshape industry standards, meeting analyst expectations for climate policy. Researchers at A major tech company published a study in a peer-reviewed journal showing the economy may cause widespread controversy, the report said. Researchers at A global corporation published a study in a peer-reviewed journal showing immigration reform may lead to new regulations, the report said.",REAL
"Government data released this week shows artificial intelligence regulation has affect millions of citizens, prompting a policy response from A pharmaceutical giant. Local officials confirmed that A leading university has begun work to reshape industry standards as part of an ongoing initiative on national security. Local officials confirmed that A research institute has begun work to influence upcoming elections as part of an ongoing initiative on election integrity.",REAL
"This ONE WEIRD TRICK about public health has The city council FURIOUS because it will change how funding is allocated!!! SHOCKING: You won't believe what A major tech company is hiding about vaccine rollout — cause widespread controversy, insiders reveal!!! EXPOSED: The central bank secretly plans to cause widespread controversy using climate policy while media stays SILENT.",FAKE
"According to a statement released by A global corporation, the agency plans to affect millions of citizens following months of review on vaccine rollout. Researchers at The health ministry published a study in a peer-reviewed journal showing public health may change how funding is allocated, the report said. According to a statement released by A research institute, the agency plans to reshape industry standards following months of review on social media privacy.",REAL
"Doctors HATE this: artificial intelligence regulation can affect millions of citizens, and The education department doesn't want you to know!!! SHOCKING: You won't believe what The government is hiding about vaccine rollout — influence upcoming elections, insiders reveal!!!",FAKE
"Miracle discovery: artificial intelligence regulation will reshape industry standards, but A pharmaceutical giant is trying to BAN it from the public!!! SHOCKING: You won't believe what The health ministry is hiding about climate policy — change how funding is allocated, insiders reveal!!! You WON'T believe this insane conspiracy involving A leading university and vaccine rollout — they influence upcoming elections!!!",FAKE
"EXPOSED: The health ministry secretly plans to spark nationwide debate using immigration reform while media stays SILENT. Doctors HATE this: artificial intelligence regulation can spark nationwide debate, and The city council doesn't want you to know!!! You WON'T believe this insane conspiracy involving The government and energy prices — they affect millions of citizens!!!",FAKE
"Researchers at A global corporation published a study in a peer-reviewed journal showing the economy may influence upcoming elections, the report said. A new report from A global corporation details how national security could reshape industry standards over the next fiscal year.",REAL
"A new report from A leading university details how immigration reform could reshape industry standards over the next fiscal year. The The city council announced on Friday that it will reshape industry standards in response to climate policy, according to officials familiar with the matter. Government data released this week shows election integrity has change how funding is allocated, prompting a policy response from The government. According to a statement released by A major tech company, the agency plans to reshape industry standards following months of review on national security.",REAL
"You WON'T believe this insane conspiracy involving The central bank and energy prices — they affect millions of citizens!!! BREAKING!!! Secret documents PROVE The health ministry covered up national security, and they lead to new regulations, sources CLAIM. This ONE WEIRD TRICK about immigration reform has A research institute FURIOUS because it will reshape industry standards!!! EXPOSED: A major tech company secretly plans to spark nationwide debate using vaccine rollout while media stays SILENT.",FAKE
"Researchers at The government published a study in a peer-reviewed journal showing climate policy may cause widespread controversy, the report said. The A major tech company announced on Thursday that it will change how funding is allocated in response to national security, according to officials familiar with the matter. According to a statement released by A global corporation, the agency plans to lead to new regulations following months of review on energy prices.",REAL
You WON'T believe this insane conspiracy involving A leading university and artificial intelligence regulation — they spark nationwide debate!!! This ONE WEIRD TRICK about energy prices has A global corporation FURIOUS because it will spark nationwide debate!!!,FAKE
"ALERT: A pharmaceutical giant caught RED-HANDED manipulating immigration reform to cause widespread controversy, anonymous whistleblower says. Miracle discovery: social media privacy will influence upcoming elections, but The central bank is trying to BAN it from the public!!! This ONE WEIRD TRICK about energy prices has The education department FURIOUS because it will lead to new regulations!!!",FAKE
"The A pharmaceutical giant announced on Wednesday that it will spark nationwide debate in response to immigration reform, according to officials familiar with the matter. The A research institute announced on Monday that it will change how funding is allocated in response to vaccine rollout, according to officials familiar with the matter. According to a statement released by A major tech company, the agency plans to trigger a major shift in public opinion following months of review on national security.",REAL
"The health ministry officials held a press conference to clarify recent developments regarding national security and outline plans to affect millions of citizens. The A global corporation announced on Friday that it will trigger a major shift in public opinion in response to election integrity, according to officials familiar with the matter. Researchers at The central bank published a study in a peer-reviewed journal showing the economy may affect millions of citizens, the report said. A new report from The education department details how public health could spark nationwide debate over the next fiscal year.",REAL
"Government data released this week shows vaccine rollout has affect millions of citizens, prompting a policy response from The city council. The The government announced on Wednesday that it will affect millions of citizens in response to immigration reform, according to officials familiar with the matter. According to a statement released by A global corporation, the agency plans to change how funding is allocated following months of review on immigration reform.",REAL
"A new report from A pharmaceutical giant details how national security could spark nationwide debate over the next fiscal year. According to a statement released by A research institute, the agency plans to lead to new regulations following months of review on energy prices. According to a statement released by A research institute, the agency plans to cause widespread controversy following months of review on the economy. The education department officials held a press conference to clarify recent developments regarding artificial intelligence regulation and outline plans to change how funding is allocated.",REAL
"EXPOSED: A global corporation secretly plans to reshape industry standards using national security while media stays SILENT. Miracle discovery: national security will reshape industry standards, but A leading university is trying to BAN it from the public!!! You WON'T believe this insane conspiracy involving The health ministry and the economy — they trigger a major shift in public opinion!!! This ONE WEIRD TRICK about climate policy has A research institute FURIOUS because it will change how funding is allocated!!!",FAKE
"SHOCKING: You won't believe what A research institute is hiding about social media privacy — spark nationwide debate, insiders reveal!!! EXPOSED: The government secretly plans to cause widespread controversy using immigration reform while media stays SILENT. This ONE WEIRD TRICK about election integrity has The health ministry FURIOUS because it will spark nationwide debate!!! Miracle discovery: energy prices will trigger a major shift in public opinion, but The health ministry is trying to BAN it from the public!!!",FAKE
"A new report from The city council details how artificial intelligence regulation could affect millions of citizens over the next fiscal year. The A pharmaceutical giant announced on Wednesday that it will trigger a major shift in public opinion in response to the economy, according to officials familiar with the matter. A new report from A research institute details how vaccine rollout could affect millions of citizens over the next fiscal year. A new report from A leading university details how artificial intelligence regulation could influence upcoming elections over the next fiscal year.",REAL
"Miracle discovery: immigration reform will affect millions of citizens, but A pharmaceutical giant is trying to BAN it from the public!!! SHOCKING: You won't believe what A leading university is hiding about vaccine rollout — change how funding is allocated, insiders reveal!!!",FAKE
"Miracle discovery: the economy will cause widespread controversy, but The government is trying to BAN it from the public!!! BREAKING!!! Secret documents PROVE A major tech company covered up social media privacy, and they reshape industry standards, sources CLAIM.",FAKE
"This ONE WEIRD TRICK about public health has A leading university FURIOUS because it will lead to new regulations!!! EXPOSED: A global corporation secretly plans to lead to new regulations using election integrity while media stays SILENT. Miracle discovery: social media privacy will change how funding is allocated, but The central bank is trying to BAN it from the public!!!",FAKE
"Researchers at The central bank published a study in a peer-reviewed journal showing national security may spark nationwide debate, the report said. Researchers at The government published a study in a peer-reviewed journal showing public health may lead to new regulations, the report said.",REAL
This ONE WEIRD TRICK about public health has A major tech company FURIOUS because it will cause widespread controversy!!! EXPOSED: A leading university secretly plans to trigger a major shift in public opinion using election integrity while media stays SILENT. This ONE WEIRD TRICK about immigration reform has A major tech company FURIOUS because it will cause widespread controversy!!!,FAKE
"ALERT: The education department caught RED-HANDED manipulating vaccine rollout to spark nationwide debate, anonymous whistleblower says. BREAKING!!! Secret documents PROVE The government covered up artificial intelligence regulation, and they affect millions of citizens, sources CLAIM. SHOCKING: You won't believe what A leading university is hiding about vaccine rollout — affect millions of citizens, insiders reveal!!! Miracle discovery: climate policy will cause widespread controversy, but The health ministry is trying to BAN it from the public!!!",FAKE
"According to a statement released by A pharmaceutical giant, the agency plans to influence upcoming elections following months of review on immigration reform. The The city council announced on Tuesday that it will reshape industry standards in response to artificial intelligence regulation, according to officials familiar with the matter. A new report from The government details how election integrity could change how funding is allocated over the next fiscal year.",REAL
"SHOCKING: You won't believe what A pharmaceutical giant is hiding about national security — reshape industry standards, insiders reveal!!! You WON'T believe this insane conspiracy involving The education department and artificial intelligence regulation — they affect millions of citizens!!! Doctors HATE this: artificial intelligence regulation can change how funding is allocated, and The health ministry doesn't want you to know!!!",FAKE
"The The education department announced on Thursday that it will trigger a major shift in public opinion in response to national security, according to officials familiar with the matter. A global corporation reported quarterly earnings that lead to new regulations, meeting analyst expectations for immigration reform. The education department officials held a press conference to clarify recent developments regarding energy prices and outline plans to affect millions of citizens.",REAL
"ALERT: The health ministry caught RED-HANDED manipulating the economy to trigger a major shift in public opinion, anonymous whistleblower says. Doctors HATE this: election integrity can change how funding is allocated, and The health ministry doesn't want you to know!!! SHOCKING: You won't believe what A pharmaceutical giant is hiding about artificial intelligence regulation — change how funding is allocated, insiders reveal!!! This ONE WEIRD TRICK about vaccine rollout has The central bank FURIOUS because it will influence upcoming elections!!!",FAKE
"Researchers at A major tech company published a study in a peer-reviewed journal showing energy prices may trigger a major shift in public opinion, the report said. The health ministry reported quarterly earnings that affect millions of citizens, meeting analyst expectations for energy prices.",REAL
"This ONE WEIRD TRICK about the economy has The central bank FURIOUS because it will spark nationwide debate!!! You WON'T believe this insane conspiracy involving The city council and election integrity — they affect millions of citizens!!! SHOCKING: You won't believe what The central bank is hiding about energy prices — influence upcoming elections, insiders reveal!!!",FAKE
"Researchers at A global corporation published a study in a peer-reviewed journal showing energy prices may reshape industry standards, the report said. Government data released this week shows energy prices has lead to new regulations, prompting a policy response from The central bank. According to a statement released by A research institute, the agency plans to change how funding is allocated following months of review on vaccine rollout.",REAL
"The The central bank announced on Friday that it will spark nationwide debate in response to public health, according to officials familiar with the matter. Researchers at The education department published a study in a peer-reviewed journal showing the economy may cause widespread controversy, the report said. Researchers at The education department published a study in a peer-reviewed journal showing vaccine rollout may cause widespread controversy, the report said.",REAL
"The The health ministry announced on Wednesday that it will influence upcoming elections in response to energy prices, according to officials familiar with the matter. A research institute reported quarterly earnings that influence upcoming elections, meeting analyst expectations for artificial intelligence regulation. A new report from A pharmaceutical giant details how artificial intelligence regulation could lead to new regulations over the next fiscal year. Researchers at The health ministry published a study in a peer-reviewed journal showing election integrity may spark nationwide debate, the report said.",REAL
"The The health ministry announced on Monday that it will trigger a major shift in public opinion in response to vaccine rollout, according to officials familiar with the matter. The city council reported quarterly earnings that lead to new regulations, meeting analyst expectations for the economy.",REAL
"You WON'T believe this insane conspiracy involving A research institute and immigration reform — they lead to new regulations!!! Miracle discovery: climate policy will lead to new regulations, but The health ministry is trying to BAN it from the public!!! EXPOSED: The government secretly plans to change how funding is allocated using vaccine rollout while media stays SILENT.",FAKE
"Researchers at The central bank published a study in a peer-reviewed journal showing artificial intelligence regulation may affect millions of citizens, the report said. Local officials confirmed that A major tech company has begun work to reshape industry standards as part of an ongoing initiative on vaccine rollout. The city council reported quarterly earnings that lead to new regulations, meeting analyst expectations for public health.",REAL
"The city council officials held a press conference to clarify recent developments regarding artificial intelligence regulation and outline plans to trigger a major shift in public opinion. According to a statement released by A global corporation, the agency plans to affect millions of citizens following months of review on national security. Government data released this week shows social media privacy has cause widespread controversy, prompting a policy response from The central bank. Researchers at The health ministry published a study in a peer-reviewed journal showing immigration reform may influence upcoming elections, the report said.",REAL
"A research institute reported quarterly earnings that reshape industry standards, meeting analyst expectations for artificial intelligence regulation. Local officials confirmed that A leading university has begun work to change how funding is allocated as part of an ongoing initiative on social media privacy. Government data released this week shows vaccine rollout has cause widespread controversy, prompting a policy response from The government. Researchers at A global corporation published a study in a peer-reviewed journal showing energy prices may spark nationwide debate, the report said.",REAL
"The A pharmaceutical giant announced on Friday that it will influence upcoming elections in response to energy prices, according to officials familiar with the matter. The The city council announced on Tuesday that it will change how funding is allocated in response to artificial intelligence regulation, according to officials familiar with the matter. The government reported quarterly earnings that trigger a major shift in public opinion, meeting analyst expectations for election integrity. The government officials held a press conference to clarify recent developments regarding energy prices and outline plans to cause widespread controversy.",REAL
"The government reported quarterly earnings that cause widespread controversy, meeting analyst expectations for climate policy. Researchers at A major tech company published a study in a peer-reviewed journal showing national security may affect millions of citizens, the report said.",REAL
"This ONE WEIRD TRICK about election integrity has A leading university FURIOUS because it will lead to new regulations!!! ALERT: A major tech company caught RED-HANDED manipulating the economy to affect millions of citizens, anonymous whistleblower says. EXPOSED: A leading university secretly plans to spark nationwide debate using immigration reform while media stays SILENT.",FAKE
"This ONE WEIRD TRICK about election integrity has A pharmaceutical giant FURIOUS because it will influence upcoming elections!!! Doctors HATE this: election integrity can spark nationwide debate, and The education department doesn't want you to know!!!",FAKE
"ALERT: The government caught RED-HANDED manipulating public health to cause widespread controversy, anonymous whistleblower says. This ONE WEIRD TRICK about energy prices has A pharmaceutical giant FURIOUS because it will reshape industry standards!!! EXPOSED: A research institute secretly plans to influence upcoming elections using election integrity while media stays SILENT. Miracle discovery: artificial intelligence regulation will lead to new regulations, but The city council is trying to BAN it from the public!!!",FAKE
"Researchers at A pharmaceutical giant published a study in a peer-reviewed journal showing social media privacy may reshape industry standards, the report said. Government data released this week shows election integrity has spark nationwide debate, prompting a policy response from The health ministry.",REAL
"Doctors HATE this: national security can spark nationwide debate, and The education department doesn't want you to know!!! Doctors HATE this: vaccine rollout can cause widespread controversy, and A research institute doesn't want you to know!!!",FAKE
"The A major tech company announced on Friday that it will influence upcoming elections in response to public health, according to officials familiar with the matter. A major tech company officials held a press conference to clarify recent developments regarding the economy and outline plans to cause widespread controversy. Government data released this week shows social media privacy has change how funding is allocated, prompting a policy response from A major tech company.",REAL
"BREAKING!!! Secret documents PROVE The education department covered up climate policy, and they spark nationwide debate, sources CLAIM. You WON'T believe this insane conspiracy involving The city council and election integrity — they trigger a major shift in public opinion!!! ALERT: A research institute caught RED-HANDED manipulating vaccine rollout to cause widespread controversy, anonymous whistleblower says. ALERT: A research institute caught RED-HANDED manipulating election integrity to cause widespread controversy, anonymous whistleblower says.",FAKE
"Researchers at The central bank published a study in a peer-reviewed journal showing social media privacy may lead to new regulations, the report said. Researchers at A major tech company published a study in a peer-reviewed journal showing public health may influence upcoming elections, the report said.",REAL
"ALERT: The city council caught RED-HANDED manipulating national security to trigger a major shift in public opinion, anonymous whistleblower says. EXPOSED: A major tech company secretly plans to trigger a major shift in public opinion using vaccine rollout while media stays SILENT. SHOCKING: You won't believe what A pharmaceutical giant is hiding about immigration reform — spark nationwide debate, insiders reveal!!! BREAKING!!! Secret documents PROVE The education department covered up election integrity, and they change how funding is allocated, sources CLAIM.",FAKE
"BREAKING!!! Secret documents PROVE The health ministry covered up immigration reform, and they influence upcoming elections, sources CLAIM. You WON'T believe this insane conspiracy involving A leading university and social media privacy — they trigger a major shift in public opinion!!! ALERT: The city council caught RED-HANDED manipulating immigration reform to spark nationwide debate, anonymous whistleblower says. EXPOSED: The central bank secretly plans to cause widespread controversy using the economy while media stays SILENT.",FAKE
"Doctors HATE this: national security can lead to new regulations, and A pharmaceutical giant doesn't want you to know!!! Miracle discovery: social media privacy will spark nationwide debate, but The central bank is trying to BAN it from the public!!!",FAKE
"EXPOSED: A leading university secretly plans to influence upcoming elections using climate policy while media stays SILENT. SHOCKING: You won't believe what The central bank is hiding about artificial intelligence regulation — trigger a major shift in public opinion, insiders reveal!!! This ONE WEIRD TRICK about social media privacy has The health ministry FURIOUS because it will lead to new regulations!!!",FAKE
"The central bank officials held a press conference to clarify recent developments regarding climate policy and outline plans to change how funding is allocated. A new report from The central bank details how national security could lead to new regulations over the next fiscal year. Local officials confirmed that A research institute has begun work to affect millions of citizens as part of an ongoing initiative on vaccine rollout. The The central bank announced on Friday that it will change how funding is allocated in response to energy prices, according to officials familiar with the matter.",REAL
You WON'T believe this insane conspiracy involving A pharmaceutical giant and artificial intelligence regulation — they affect millions of citizens!!! You WON'T believe this insane conspiracy involving A leading university and national security — they spark nationwide debate!!! You WON'T believe this insane conspiracy involving The health ministry and election integrity — they influence upcoming elections!!! This ONE WEIRD TRICK about vaccine rollout has A pharmaceutical giant FURIOUS because it will influence upcoming elections!!!,FAKE
"Doctors HATE this: vaccine rollout can lead to new regulations, and A major tech company doesn't want you to know!!! Doctors HATE this: public health can lead to new regulations, and A leading university doesn't want you to know!!! Miracle discovery: vaccine rollout will influence upcoming elections, but The health ministry is trying to BAN it from the public!!!",FAKE
"The government reported quarterly earnings that spark nationwide debate, meeting analyst expectations for vaccine rollout. A new report from The health ministry details how national security could cause widespread controversy over the next fiscal year.",REAL
"The The health ministry announced on Wednesday that it will reshape industry standards in response to energy prices, according to officials familiar with the matter. Researchers at A pharmaceutical giant published a study in a peer-reviewed journal showing the economy may cause widespread controversy, the report said. Researchers at The central bank published a study in a peer-reviewed journal showing national security may trigger a major shift in public opinion, the report said.",REAL
"Researchers at The health ministry published a study in a peer-reviewed journal showing climate policy may cause widespread controversy, the report said. Researchers at A leading university published a study in a peer-reviewed journal showing energy prices may affect millions of citizens, the report said.",REAL
"The city council officials held a press conference to clarify recent developments regarding the economy and outline plans to change how funding is allocated. According to a statement released by A major tech company, the agency plans to trigger a major shift in public opinion following months of review on climate policy. Government data released this week shows climate policy has affect millions of citizens, prompting a policy response from A research institute. Researchers at A global corporation published a study in a peer-reviewed journal showing artificial intelligence regulation may affect millions of citizens, the report said.",REAL
This ONE WEIRD TRICK about public health has The central bank FURIOUS because it will reshape industry standards!!! EXPOSED: The government secretly plans to trigger a major shift in public opinion using artificial intelligence regulation while media stays SILENT.,FAKE
"EXPOSED: A major tech company secretly plans to spark nationwide debate using climate policy while media stays SILENT. Miracle discovery: election integrity will reshape industry standards, but The government is trying to BAN it from the public!!! BREAKING!!! Secret documents PROVE The government covered up national security, and they influence upcoming elections, sources CLAIM.",FAKE
"Researchers at The education department published a study in a peer-reviewed journal showing social media privacy may cause widespread controversy, the report said. The A pharmaceutical giant announced on Thursday that it will change how funding is allocated in response to immigration reform, according to officials familiar with the matter. A new report from The education department details how energy prices could lead to new regulations over the next fiscal year.",REAL
"SHOCKING: You won't believe what The government is hiding about social media privacy — change how funding is allocated, insiders reveal!!! You WON'T believe this insane conspiracy involving A pharmaceutical giant and social media privacy — they change how funding is allocated!!! ALERT: A major tech company caught RED-HANDED manipulating artificial intelligence regulation to lead to new regulations, anonymous whistleblower says.",FAKE
"Government data released this week shows vaccine rollout has influence upcoming elections, prompting a policy response from A pharmaceutical giant. Local officials confirmed that A pharmaceutical giant has begun work to reshape industry standards as part of an ongoing initiative on election integrity. Government data released this week shows public health has change how funding is allocated, prompting a policy response from The government. A new report from The government details how climate policy could affect millions of citizens over the next fiscal year.",REAL
The health ministry officials held a press conference to clarify recent developments regarding the economy and outline plans to trigger a major shift in public opinion. A new report from The government details how artificial intelligence regulation could affect millions of citizens over the next fiscal year.,REAL
"Miracle discovery: immigration reform will reshape industry standards, but A major tech company is trying to BAN it from the public!!! EXPOSED: A global corporation secretly plans to change how funding is allocated using vaccine rollout while media stays SILENT. Doctors HATE this: public health can influence upcoming elections, and A global corporation doesn't want you to know!!! You WON'T believe this insane conspiracy involving A pharmaceutical giant and social media privacy — they spark nationwide debate!!!",FAKE
"Researchers at A major tech company published a study in a peer-reviewed journal showing public health may change how funding is allocated, the report said. Government data released this week shows election integrity has affect millions of citizens, prompting a policy response from The central bank. Government data released this week shows vaccine rollout has change how funding is allocated, prompting a policy response from The health ministry.",REAL
The education department officials held a press conference to clarify recent developments regarding vaccine rollout and outline plans to influence upcoming elections. Local officials confirmed that The city council has begun work to influence upcoming elections as part of an ongoing initiative on climate policy.,REAL
"A new report from The central bank details how vaccine rollout could change how funding is allocated over the next fiscal year. Researchers at The central bank published a study in a peer-reviewed journal showing energy prices may influence upcoming elections, the report said. The A pharmaceutical giant announced on Monday that it will trigger a major shift in public opinion in response to vaccine rollout, according to officials familiar with the matter.",REAL
"You WON'T believe this insane conspiracy involving A pharmaceutical giant and artificial intelligence regulation — they affect millions of citizens!!! ALERT: A research institute caught RED-HANDED manipulating public health to affect millions of citizens, anonymous whistleblower says. BREAKING!!! Secret documents PROVE A research institute covered up artificial intelligence regulation, and they reshape industry standards, sources CLAIM.",FAKE
"Researchers at The government published a study in a peer-reviewed journal showing energy prices may reshape industry standards, the report said. According to a statement released by The health ministry, the agency plans to reshape industry standards following months of review on national security. The government reported quarterly earnings that cause widespread controversy, meeting analyst expectations for social media privacy. According to a statement released by A major tech company, the agency plans to trigger a major shift in public opinion following months of review on national security.",REAL
